"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","var","n.factors","var.pct"
"collection",3,43.7052696855637,14.5684232285212,1153.87307656102,0,0.000712907924883959,1,0.0316052165201719
"n_t",12,461.104945318655,38.4254121098879,3043.43495475606,0,0.0061144388844117,1,0.271070299678104
"random",1,38.3935665682432,38.3935665682432,3040.91266991192,0,0.000939903046309299,1,0.0416685496817978
"uncorrelated",1,81.275496044771,81.275496044771,6437.32030564591,0,0.00199002988545532,1,0.0882236305925003
"homoscedastic",1,0.0345351299982641,0.0345351299982641,2.73531020313286,0.098156284910397,5.36536250649412e-07,1,2.37861633751036e-05
"normal",1,7.08382835502001,7.08382835502001,561.065441992026,1.2912905890814e-123,0.000173165242630514,1,0.00767690299977563
"Residuals",81650,1030.88613537457,0.0126256722029953,NA,NA,0.0126256722029953,0,0.559731614364275
