"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","var","n.factors","var.pct"
"collection",3,96.7299737204277,32.2433245734759,3771.03053314892,0,0.00154974876464964,1,0.0884480269776696
"n_t",12,324.06945942489,27.0057882854075,3158.47244486081,0,0.00421831844010063,1,0.240749953606042
"random",1,74.8311140414965,74.8311140414965,8751.90197080884,0,0.00179861932145993,1,0.102651690322858
"uncorrelated",1,57.2397573280259,57.2397573280259,6694.49802243985,0,0.00137575016969381,1,0.0785174932216326
"homoscedastic",1,0.0637661724264015,0.0637661724264015,7.45779743196241,0.00631755479172894,1.32730537651404e-06,1,7.57526280564972e-05
"normal",1,1.15431965454371,1.15431965454371,135.003902974667,3.48335595546548e-31,2.75425333120262e-05,1,0.00157192106551942
"Residuals",83180,711.211355741046,0.00855026876341724,NA,NA,0.00855026876341724,0,0.487985162178222
