"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","var","n.factors","var.pct"
"collection",3,1.45237705391415,0.484125684638051,178.925403338319,1.20981561505184e-115,2.32362354553382e-05,1,0.00708515859761267
"n_t",12,29.0835015536956,2.42362512947463,895.734553221124,0,0.000379756643320391,1,0.115794834821398
"random",1,4.01708376039695,4.01708376039695,1484.65234314144,6.12641400843146e-322,9.68790699143357e-05,1,0.0295402229182775
"uncorrelated",1,2.09204626799463,2.09204626799463,773.188108338478,2.19859200233407e-169,5.04220992745133e-05,1,0.0153746320427487
"homoscedastic",1,0.0205532900961146,0.0205532900961146,7.59617974643551,0.00585048930661873,4.30715296461827e-07,1,0.000131333072076816
"normal",1,0.959879676941815,0.959879676941815,354.756758013105,5.71063799799408e-79,2.30994989160699e-05,1,0.00704346509400419
"Residuals",82854,224.18141150788,0.00270574035662587,NA,NA,0.00270574035662587,0,0.825030353453882
