"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","var","n.factors","var.pct"
"collection",3,93.2535613155515,31.0845204385172,3584.25627872846,0,0.00149403115011413,1,0.0857666089624032
"n_t",12,321.984472246111,26.8320393538425,3093.91633418705,0,0.00419115106839053,1,0.240597938508543
"random",1,74.5650883722466,74.5650883722466,8597.86100611681,0,0.00179222153500249,1,0.102884577443257
"uncorrelated",1,51.5784775662959,51.5784775662959,5947.34869498505,0,0.00123965877524406,1,0.0711640646950677
"homoscedastic",1,0.086439047621426,0.086439047621426,9.96700913489094,0.00159427050842552,1.86938777591971e-06,1,0.000107314395930871
"normal",1,1.18519103426355,1.18519103426355,136.660574013168,1.51438500786504e-31,2.82816951471246e-05,1,0.00162354385200873
"Residuals",83180,721.379892788559,0.00867251614316613,NA,NA,0.00867251614316613,0,0.497855952142789
